user_id,user_location,tweet_created_at,tweet_id,;;
2314042430,Cerveteri (Roma),2021-01-07 16:37:23,1347220799967657986,;;
911583739125338112,Codroipo Friuli-Venezia Giulia,2021-01-07 16:37:23,1347220800915517440,;;
440129638,Veneto Italia,2021-01-07 16:37:25,1347220808662458368,;;
903850897,Songwriter ~ Producer,2021-01-07 16:37:39,1347220867579867136,;;
240346934,Milano Lombardia,2021-01-07 16:37:45,1347220894100451329,;;
1058394781,Genova Liguria,2021-01-07 16:37:52,1347220920075739138,;;
776138045682806784,Cingoli Marche,2021-01-07 16:37:54,1347220929462591488,;;
1237071348662448129,Brunate Lombardia,2021-01-07 16:38:02,1347220963407097856,;;
1188843954432811010,Trapani Sicilia ,2021-01-07 16:38:12,1347221003441754113,;;
816408959326294016,Roma Lazio,2021-01-07 16:38:15,1347221019413671943,;;
558651454,Mirafiori Sud Europa,2021-01-07 16:38:16,1347221021850542088,;;
175044831,Toscana Italia,2021-01-07 16:38:29,1347221075315322888,;;
435220751,Milano,2021-01-07 16:38:38,1347221116427902976,;;
432133200,milano,2021-01-07 16:38:46,1347221149588070402,;;
1014683070,Roma Lazio,2021-01-07 16:38:48,1347221155623669765,;;
3195753809,Ozieri Sardegna ,2021-01-07 16:38:50,1347221165228642307,;;
243563921,Padova,2021-01-07 16:38:58,1347221197570928641,;;
14376973,Rome Italy,2021-01-07 16:39:08,1347221238779949059,;;
237241091,Chorio; Calabria; Italy,2021-01-07 16:39:13,1347221261139771392,
1188843954432811010,Trapani Sicilia ,2021-01-07 16:39:14,1347221264625246208,;;
291363076,Roma Lazio,2021-01-07 16:39:17,1347221280064483328,;;
415749407,San Benedetto del Trondheim,2021-01-07 16:39:26,1347221314331881474,;;
505018519,Puglia Italia,2021-01-07 16:39:33,1347221343884992512,;;
1340294762025390081,Nei miei pensieri,2021-01-07 16:39:54,1347221433060089861,;;
275127579,Earth🌍 . For now.,2021-01-07 16:39:56,1347221442627309570,;;
243563921,Padova,2021-01-07 16:40:00,1347221459299663875,;;
1440863360,Roma Lazio,2021-01-07 16:40:03,1347221471219900416,;;
406988536,Reggio di Calabria Calabria,2021-01-07 16:40:12,1347221508310118400,;;
1511259956,Catania,2021-01-07 16:40:20,1347221543227633666,;;
711322566,Milano ,2021-01-07 16:40:42,1347221633472327684,;;
1188843954432811010,Trapani Sicilia ,2021-01-07 16:41:00,1347221709708001281,;;
51001328,Gallipoli (Le)  Italy,2021-01-07 16:41:05,1347221731816169482,;;
191600621,Napoli Campania,2021-01-07 16:41:10,1347221752041107456,;;
1084470709437583360,Bologna Emilia Romagna,2021-01-07 16:41:14,1347221770496045056,;;
275127579,Earth🌍 . For now.,2021-01-07 16:41:22,1347221802070773761,;;
1333804912396951552,Saint-Raphaël France,2021-01-07 16:41:24,1347221808693587974,;;
506189709,Napoli & Ischia,2021-01-07 16:41:25,1347221812833374212,;;
1084470709437583360,Bologna Emilia Romagna,2021-01-07 16:41:27,1347221824850038786,;;
3488868136,Roma Lazio,2021-01-07 16:41:30,1347221836564750338,;;
379670505,Chromatica,2021-01-07 16:41:33,1347221846719148035,;;
1344403846471290882,Bari Puglia,2021-01-07 16:41:33,1347221846522003465,;;
2260566889,Sardegna.Italia.,2021-01-07 16:41:33,1347221847566385155,;;
227619302,Trieste,2021-01-07 16:41:38,1347221868273688576,;;
177177898,Allianz Stadium,2021-01-07 16:41:38,1347221869376712704,;;
1084470709437583360,Bologna Emilia Romagna,2021-01-07 16:41:39,1347221873709506567,;;
420626048,Bologna Italia,2021-01-07 16:41:45,1347221898577534981,;;
2385068164,Trieste Friuli-Venezia Giulia,2021-01-07 16:41:51,1347221921969143809,;;
402264907,Prato Toscana,2021-01-07 16:41:58,1347221951337689089,;;
191600621,Napoli Campania,2021-01-07 16:42:08,1347221995482718208,;;
23600591,Milan,2021-01-07 16:42:38,1347222122570141706,;;
593487099,Beura-Cardezza Piemonte,2021-01-07 16:42:41,1347222133496311814,;;
420626048,Bologna Italia,2021-01-07 16:42:41,1347222134825906178,;;
2871128064,Roma Lazio,2021-01-07 16:42:48,1347222161774292995,;;
1188843954432811010,Trapani Sicilia ,2021-01-07 16:42:59,1347222208247115779,;;
178400789,Novara Piemonte,2021-01-07 16:43:02,1347222222323257346,;;
1344403846471290882,Bari Puglia,2021-01-07 16:43:08,1347222248441192455,;;
73180846,Genova,2021-01-07 16:43:11,1347222261548408833,;;
406516558,Milano,2021-01-07 16:43:14,1347222270821937152,;;
2871128064,Roma Lazio,2021-01-07 16:43:14,1347222271132315648,;;
412556755,Manila Bangkok Milano,2021-01-07 16:43:20,1347222297208348675,;;
177177898,Allianz Stadium,2021-01-07 16:43:24,1347222315734601728,;;
453777483,Pompiano -bs-,2021-01-07 16:43:25,1347222318267904002,;;
97289616,Milano.,2021-01-07 16:43:26,1347222321430458368,;;
2302151496,Pesaro - Italy,2021-01-07 16:43:29,1347222335934312451,;;
10566052,Bergamo Italy,2021-01-07 16:43:33,1347222349968502785,;;
1084470709437583360,Bologna Emilia Romagna,2021-01-07 16:43:36,1347222363478364162,;;
2351215700,Siracusa Sicilia,2021-01-07 16:43:36,1347222365147717634,;;
304598010,Prato Toscana,2021-01-07 16:43:41,1347222386626715653,;;
2385068164,Trieste Friuli-Venezia Giulia,2021-01-07 16:43:58,1347222458336743428,;;
2351215700,Siracusa Sicilia,2021-01-07 16:44:03,1347222476774907907,;;
591174091,Poggio a Caiano Toscana,2021-01-07 16:44:07,1347222496320348160,;;
1058394781,Genova Liguria,2021-01-07 16:44:12,1347222515614162947,;;
1079478389193539585,Trento Trentino-Alto Adige,2021-01-07 16:44:21,1347222553455112196,;;
